Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Erik,Andersson,Ringvägen 28,Falun,59599,Sverige,SE,19630606-6115,46,0895-62 55 76,1963-06-06,True
Lovisa,Johansson,Kyrkvägen 298,Göteborg,59435,Sverige,SE,19620618-2329,46,08-813 90 51,1962-06-18,True
Johan,Nilsson,Parkstigen 610,Trollhättan,40880,Sverige,SE,19430803-3132,46,08-949 144 51,1943-08-03,True
Sara,Karlsson,Industrivägen 00,Östersund,49244,Sverige,SE,19960126-1366,46,+46 (0)90 24 14 66,1996-01-26,True
Sven,Ågren,Stationsstigen 3,Karlskoga,12878,Sverige,SE,19641209-6967,46,08-92 77 73,1964-12-09,True
Arne,Svensson,Trädgårdsgränd 04,Lidingö,32467,Sverige,SE,19830607-8293,46,+46 (0)8 435 720 45,1983-06-07,True
Johan,Nilsson,Idrottsvägen 740,Jönköping,43966,Sverige,SE,19950718-9365,46,0200-48 03 08,1995-07-18,True
Madeleine,Nyberg,Parkstigen 5,Göteborg,22202,Sverige,SE,19480912-2302,46,0258-24 33 28,1948-09-12,True
Bengt,Lindgren,Gengatan 47,Södertälje,55555,Sverige,SE,19770208-1898,46,+46 (0)8 878 737 85,1977-02-08,True
Jimmy,Nilsson,Stationsgatan 236,Motala,31499,Sverige,SE,19630616-1028,46,08-29 96 55,1963-06-16,True
Patrik,Månsson,Ekvägen 31,Kristianstad,85998,Sverige,SE,19540601-4895,46,08-283 20 41,1954-06-01,True
Per,Lindgren,Järnvägsgränd 2,Eskilstuna,28235,Sverige,SE,19550226-5279,46,0212-986 02,1955-02-26,True
Carina,Karlsson,Backgatan 1,Uddevalla,75189,Sverige,SE,19880823-4492,46,+46 (0)8 997 548 35,1988-08-23,True
Inger,Nordin,Backvägen 716,Norrköping,29657,Sverige,SE,19900821-5421,46,095-41 04 37,1990-08-21,True
Elisabet,Lundberg,Stationsvägen 519,Örnsköldsvik,87250,Sverige,SE,19740125-2878,46,+46 (0)8 220 639 32,1974-01-25,True
Emelie,Andersson,Skogsgränd 02,Södertälje,72961,Sverige,SE,19561001-6801,46,0524-93 44 47,1956-10-01,True
Erik,Nilsson,Parkgatan 36,Karlstad,21509,Sverige,SE,19750522-2278,46,+46 (0)57 20 58 75,1975-05-22,True
Carina,Andersson,Strandstigen 699,Lidköping,90310,Sverige,SE,19730426-5056,46,0693-260 05,1973-04-26,True
Lilly,Nordin,Skogstorget 645,Mölndal,60190,Sverige,SE,19440723-0651,46,052-34 96 34,1944-07-23,True
Petra,Lind,Idrottsgatan 6,Kristianstad,70797,Sverige,SE,19920512-2844,46,0148-123 63,1992-05-12,True
Maria,Björklund,Trädgårdsvägen 2,Linköping,26844,Sverige,SE,19490530-8291,46,042-46 98 22,1949-05-30,True
Lennart,Pettersson,Backvägen 17,Uddevalla,86967,Sverige,SE,19751214-2516,46,026-847 30 34,1975-12-14,True
Åke,Larsson,Granstigen 370,Luleå,42161,Sverige,SE,19520808-9846,46,006-143 25 81,1952-08-08,True
Erik,Gunnarsson,Kyrkogatan 4,Umeå,33023,Sverige,SE,19671017-4552,46,0598-152 90,1967-10-17,True
Alexander,Hallberg,Furuvägen 4,Eskilstuna,77226,Sverige,SE,19560229-8533,46,+46 (0)281 756 39,1956-02-29,True
Eva,Karlsson,Industrivägen 7,Ängelholm,77703,Sverige,SE,19600109-9915,46,+46 (0)70 45 23 34,1960-01-09,True
Ivan,Lindberg,Kvarngränd 3,Trelleborg,53973,Sverige,SE,19510501-1780,46,08-99 42 90,1951-05-01,True
Lars,Danielsson,Parkgatan 94,Östersund,30279,Sverige,SE,19820813-1414,46,08-824 315 82,1982-08-13,True
Hillevi,Persson,Skolgränd 5,Karlskoga,76768,Sverige,SE,19740208-0471,46,050-155 73 82,1974-02-08,True
Jakob,Sundqvist,Gengatan 9,Borlänge,91123,Sverige,SE,19850120-3571,46,0445-40 07 52,1985-01-20,True
Gertrud,Karlsson,Furuvägen 0,Karlskrona,23200,Sverige,SE,19440324-9209,46,+46 (0)627 495 94,1944-03-24,True
Kurt,Eliasson,Skolgatan 5,Lidköping,35679,Sverige,SE,19700422-0423,46,0996-072 94,1970-04-22,True
Gustaf,Carlsson,Kvarngatan 29,Borlänge,80068,Sverige,SE,19520203-8597,46,08-63 84 16,1952-02-03,True
Anna,Bengtsson,Grangränd 37,Jönköping,49441,Sverige,SE,19860210-7628,46,+46 (0)09 62 27 78,1986-02-10,True
Hans,Andersson,Stationsstigen 1,Karlskoga,51889,Sverige,SE,19420425-8050,46,08-413 73 70,1942-04-25,True
Olof,Nilsson,Furustigen 87,Halmstad,52159,Sverige,SE,19970613-0982,46,+46 (0)440 457 93,1997-06-13,True
David,Petersson,Bäckvägen 99,Karlskrona,84954,Sverige,SE,19740802-5675,46,+46 (0)15 79 67 98,1974-08-02,True
Maria,Pettersson,Nygatan 4,Motala,67272,Sverige,SE,19820618-2435,46,08-310 180 24,1982-06-18,True
Sofia,Haglund,Aspgatan 3,Landskrona,58781,Sverige,SE,19410411-4539,46,030-03 86 87,1941-04-11,True
Alexander,Lundin,Storgatan 21,Norrköping,20367,Sverige,SE,19880530-9773,46,08-751 154 77,1988-05-30,True
Maria,Petersson,Industritorget 502,Piteå,66511,Sverige,SE,19850513-9879,46,0665-984 65,1985-05-13,True
Elisabet,Lundgren,Åkervägen 4,Sandviken,21053,Sverige,SE,19760817-0079,46,0769-21 59 79,1976-08-17,True
Ulf,Blomqvist,Kyrkotorget 69,Alingsås,54036,Sverige,SE,19880605-0879,46,+46 (0)993 653 71,1988-06-05,True
Krister,Lindholm,Villagränd 24,Karlskrona,45180,Sverige,SE,19980120-9672,46,+46 (0)8 284 083 04,1998-01-20,True
Birgitta,Bengtsson,Backgatan 4,Nyköping,50320,Sverige,SE,19480320-3438,46,0316-800 56,1948-03-20,True
Susanne,Johansson,Backtorget 73,Trelleborg,46679,Sverige,SE,19810409-0902,46,019-015 61 69,1981-04-09,True
Knut,Karlsson,Granvägen 11,Landskrona,19296,Sverige,SE,19480314-0548,46,08-805 63 89,1948-03-14,True
Maria,Jansson,Ringvägen 9,Borås,96573,Sverige,SE,19720323-9396,46,+46 (0)454 459 60,1972-03-23,True
Elisabet,Jonsson,Ekvägen 643,Helsingborg,96380,Sverige,SE,19960316-6573,46,08-584 239 97,1996-03-16,True
Rune,Magnusson,Aspgränd 701,Karlskoga,14367,Sverige,SE,19670101-9046,46,+46 (0)208 456 41,1967-01-01,True
Ingrid,Lundin,Ringgränd 723,Kalmar,54286,Sverige,SE,19560411-3736,46,0831-82 03 37,1956-04-11,True
Rolf,Magnusson,Grangatan 694,Jönköping,93321,Sverige,SE,19880319-2416,46,+46 (0)08 23 18 47,1988-03-19,True
Erik,Petersson,Skolgränd 65,Ängelholm,64750,Sverige,SE,19451017-3617,46,0470-409 10,1945-10-17,True
Elisabet,Andersson,Ängstorget 845,Borås,57612,Sverige,SE,19700802-0460,46,08-79 36 65,1970-08-02,True
Ingeborg,Öberg,Ektorget 972,Falun,90036,Sverige,SE,19460314-4179,46,08-50 98 58,1946-03-14,True
Marianne,Johansson,Industrivägen 611,Kalmar,62406,Sverige,SE,19970110-5424,46,033-77 48 90,1997-01-10,True
Gunvor,Karlsson,Skogstorget 692,Lidingö,43655,Sverige,SE,19400124-0782,46,045-93 17 45,1940-01-24,True
Emma,Engström,Trädgårdstorget 6,Östersund,42955,Sverige,SE,19890820-4868,46,08-495 23 28,1989-08-20,True
Kristian,Boström,Aspgatan 1,Borlänge,45780,Sverige,SE,19801023-0077,46,0499-188 43,1980-10-23,True
Alexander,Sundström,Fabriksgatan 809,Halmstad,71374,Sverige,SE,19890510-1280,46,0770-955 07,1989-05-10,True
Viola,Johansson,Trädgårdsgatan 6,Linköping,35344,Sverige,SE,20000417-1580,46,08-127 73 59,2000-04-17,True
Ingegerd,Karlsson,Strandvägen 562,Helsingborg,71824,Sverige,SE,19410319-9194,46,08-875 427 83,1941-03-19,True
Ulla,Karlsson,Trädgårdsvägen 418,Eskilstuna,51211,Sverige,SE,19490131-0064,46,0166-610 11,1949-01-31,True
Harriet,Nilsson,Aspgatan 7,Örnsköldsvik,74292,Sverige,SE,19540501-5907,46,+46 (0)8 992 698 29,1954-05-01,True
Maria,Eriksson,Villavägen 727,Linköping,12931,Sverige,SE,19520717-3089,46,+46 (0)8 151 490 61,1952-07-17,True
Alice,Nyberg,Aspvägen 73,Motala,56512,Sverige,SE,19600122-7415,46,0541-731 34,1960-01-22,True
Christina,Lindgren,Granvägen 498,Trelleborg,61196,Sverige,SE,19530912-9753,46,0143-24 81 42,1953-09-12,True
Therese,Lind,Fabriksgatan 1,Karlskrona,49833,Sverige,SE,19650401-8879,46,0173-264 01,1965-04-01,True
Margareta,Eklund,Kyrkvägen 2,Norrköping,12063,Sverige,SE,19950222-6553,46,08-18 37 41,1995-02-22,True
Ove,Persson,Järnvägsstigen 202,Borås,85095,Sverige,SE,19410803-0681,46,034-316 78 11,1941-08-03,True
Magnus,Eriksson,Backvägen 844,Landskrona,44572,Sverige,SE,19930125-8798,46,034-47 52 10,1993-01-25,True
Edvard,Ottosson,Grantorget 1,Karlstad,24849,Sverige,SE,19901229-3257,46,08-40 44 02,1990-12-29,True
Elisabet,Olsson,Trädgårdsgatan 434,Halmstad,33156,Sverige,SE,19660730-3737,46,08-33 17 94,1966-07-30,True
Göte,Högberg,Skogsstigen 70,Helsingborg,92187,Sverige,SE,19600903-3246,46,076-04 41 59,1960-09-03,True
Helena,Håkansson,Industristigen 35,Västerås,51521,Sverige,SE,19780212-9159,46,+46 (0)8 410 935 77,1978-02-12,True
Nils,Johnsson,Idrottsgatan 6,Mölndal,73564,Sverige,SE,19860114-5317,46,0584-420 41,1986-01-14,True
Irene,Larsson,Kyrkovägen 54,Örnsköldsvik,80205,Sverige,SE,19650204-3627,45,08-264 17 07,1965-02-04,True
Erik,Olofsson,Industrivägen 74,Linköping,68123,Sverige,SE,19970830-1114,46,097-224 63 69,1997-08-30,True
Göran,Andersson,Nyvägen 73,Uppsala,31497,Sverige,SE,19560123-0444,46,+46 (0)8 126 430 23,1956-01-23,True
Siv,Jakobsson,Backvägen 33,Malmö,31480,Sverige,SE,19400715-1901,46,0992-429 67,1940-07-15,True
Rickard,Lundström,Industrigatan 627,Mölndal,66172,Sverige,SE,19710405-2659,46,0101-344 89,1971-04-05,True
Emma,Fredriksson,Furustigen 313,Lidingö,41518,Sverige,SE,19860814-5906,46,+46 (0)780 813 24,1986-08-14,True
Roland,Johansson,Ektorget 2,Sundsvall,40733,Sverige,SE,19671212-8511,46,0027-91 45 06,1967-12-12,True
Ingvar,Johansson,Parkvägen 060,Karlskoga,46438,Sverige,SE,19481002-0405,46,+46 (0)8 256 551 21,1948-10-02,True
Olof,Pettersson,Nygränd 8,Gävle,54759,Sverige,SE,19991221-2849,46,08-823 27 34,1999-12-21,True
Elisabet,Jonsson,Kvarngatan 77,Eskilstuna,20555,Sverige,SE,19610712-9519,46,0092-318 86,1961-07-12,True
Harriet,Nilsson,Furugatan 194,Malmö,96523,Sverige,SE,19810410-0560,46,0454-47 44 44,1981-04-10,True
Ingvar,Eriksson,Kyrkovägen 64,Trollhättan,64556,Sverige,SE,19570420-4230,46,08-318 678 40,1957-04-20,True
Kurt,Dahlström,Furugatan 8,Kalmar,73447,Sverige,SE,19701208-3288,46,+46 (0)077 761 76,1970-12-08,True
Karin,Karlsson,Ringvägen 43,Örnsköldsvik,29117,Sverige,SE,19500903-6839,46,0795-21 89 53,1950-09-03,True
Christina,Andersson,Stationsvägen 84,Borlänge,30308,Sverige,SE,19690724-2382,46,+46 (0)8 080 024 03,1969-07-24,True
Ida,Samuelsson,Järnvägsgränd 24,Borås,26521,Sverige,SE,19660914-9501,46,08-94 55 84,1966-09-14,True
Stig,Andreasson,Storvägen 29,Gävle,92068,Sverige,SE,19811219-7685,46,08-286 48 57,1981-12-19,True
Stefan,Svensson,Backstigen 790,Helsingborg,19881,Sverige,SE,19770215-2068,46,074-48 70 90,1977-02-15,True
Carina,Holmberg,Villavägen 4,Uddevalla,40468,Sverige,SE,19770803-1801,46,08-077 177 68,1977-08-03,True
Anna,Johansson,Grangränd 2,Jönköping,61686,Sverige,SE,19810830-2895,46,095-216 58 42,1981-08-30,True
Bo,Andersson,Ängsvägen 96,Ängelholm,91957,Sverige,SE,19560707-2672,46,047-72 50 72,1956-07-07,True
Elisabet,Bergqvist,Skolvägen 215,Sundsvall,49217,Sverige,SE,19761217-1544,46,08-947 92 64,1976-12-17,True
Bengt,Nilsson,Parkstigen 5,Gävle,82455,Sverige,SE,19770218-7006,46,+46 (0)444 741 28,1977-02-18,True
Inger,Johansson,Aspvägen 5,Lidköping,97837,Sverige,SE,19620328-1614,46,08-599 145 52,1962-03-28,True
Marcus,Sandberg,Parktorget 3,Skövde,84359,Sverige,SE,19830503-3561,46,0794-496 27,1983-05-03,True
Ragnhild,Gunnarsson,Trädgårdsvägen 62,Uddevalla,85180,Sverige,SE,19410806-6764,46,070-09 32 27,1941-08-06,True
Britt,Andersson,Skolstigen 210,Landskrona,61752,Sverige,SE,19731105-6243,46,+46 (0)289 836 43,1973-11-05,True
Anders,Andersson,Industrigränd 4,Kristianstad,76395,Sverige,SE,19710813-9109,46,08-673 59 02,1971-08-13,True
Peter,Jansson,Strandstigen 49,Södertälje,37327,Sverige,SE,19651109-6971,46,0497-058 61,1965-11-09,True
Barbro,Johnsson,Björkgränd 2,Helsingborg,37978,Sverige,SE,19770423-1814,46,0927-447 00,1977-04-23,True
Gunnar,Nilsson,Skogsgatan 661,Landskrona,25132,Sverige,SE,20000819-1237,46,08-337 18 43,2000-08-19,True
Arne,Persson,Ängsvägen 75,Umeå,97892,Sverige,SE,19860508-8490,46,0779-79 36 13,1986-05-08,True
Olof,Andersson,Järnvägstorget 12,Linköping,27434,Sverige,SE,19950119-1447,46,078-72 85 26,1995-01-19,True
Johan,Magnusson,Kyrktorget 81,Jönköping,93176,Sverige,SE,19711016-5266,46,0612-774 54,1971-10-16,True
Kristina,Johansson,Genstigen 8,Kristianstad,78599,Sverige,SE,19590622-0067,46,044-40 15 55,1959-06-22,True
Cecilia,Arvidsson,Nygatan 5,Göteborg,46535,Sverige,SE,19821116-3708,46,+46 (0)867 832 02,1982-11-16,True
Arnold,Eriksson,Backtorget 46,Östersund,67876,Sverige,SE,19870126-2794,46,+46 (0)8 189 549 48,1987-01-26,True
Marie,Martinsson,Kvarnstigen 221,Luleå,68310,Sverige,SE,19710329-6076,46,0756-778 70,1971-03-29,True
Susanne,Åström,Järnvägsgatan 67,Gävle,45595,Sverige,SE,19950424-8070,46,+46 (0)287 133 84,1995-04-24,True
Jenny,Andersson,Nyvägen 332,Södertälje,57905,Sverige,SE,19620701-3746,46,08-87 54 33,1962-07-01,True
Magdalena,Dahlström,Skolgatan 204,Falun,22742,Sverige,SE,19860612-3636,46,08-831 141 98,1986-06-12,True
Lena,Fransson,Aspgatan 2,Skövde,30779,Sverige,SE,19781125-8861,46,+46 (0)398 031 70,1978-11-25,True
Håkan,Andersson,Skoltorget 30,Göteborg,37405,Sverige,SE,19530804-9536,46,+46 (0)890 502 52,1953-08-04,True
Elisabeth,Lindell,Villatorget 041,Lund,28077,Sverige,SE,19920728-7861,46,0006-41 61 74,1992-07-28,True
Eric,Olsson,Backstigen 050,Falun,54377,Sverige,SE,19740822-6895,46,08-86 53 03,1974-08-22,True
Jan,Larsson,Granvägen 6,Östersund,58147,Sverige,SE,19860810-0295,46,058-02 18 37,1986-08-10,True
Oskar,Ericsson,Furugatan 3,Kalmar,73289,Sverige,SE,19860819-0851,46,0935-95 57 43,1986-08-19,True
Doris,Viklund,Ektorget 1,Borlänge,42329,Sverige,SE,19561227-1401,46,08-117 18 46,1956-12-27,True
Gerd,Sandström,Stationsgatan 5,Norrköping,99924,Sverige,SE,19680418-0725,46,+46 (0)8 077 119 78,1968-04-18,True
Birgitta,Larsson,Industrigatan 4,Motala,85459,Sverige,SE,19520212-5071,46,044-687 97 60,1952-02-12,True
Anna,Andersson,Järnvägsgränd 37,Karlstad,96352,Sverige,SE,19930305-9155,46,+46 (0)01 08 14 16,1993-03-05,True
Andreas,Rosén,Ektorget 223,Ängelholm,52364,Sverige,SE,19991007-3506,46,098-331 75 96,1999-10-07,True
Linnea,Larsson,Parktorget 9,Jönköping,68805,Sverige,SE,19461207-8237,46,098-601 49 80,1946-12-07,True
Kristina,Johansson,Ängsvägen 3,Göteborg,36335,Sverige,SE,19570227-4657,46,063-15 14 20,1957-02-27,True
Jörgen,Norberg,Kyrkgatan 340,Skövde,27963,Sverige,SE,19770512-4499,46,08-709 438 88,1977-05-12,True
Alice,Berntsson,Skolvägen 2,Sundsvall,87144,Sverige,SE,19980108-1060,46,08-04 61 02,1998-01-08,True
Carl,Ivarsson,Åkergränd 672,Skövde,59803,Sverige,SE,19930831-1414,46,033-749 68 38,1993-08-31,True
Maria,Jonsson,Backvägen 98,Norrköping,99276,Sverige,SE,19880928-6188,46,+46 (0)691 032 64,1988-09-28,True
Elin,Eriksson,Fabrikstorget 60,Trelleborg,59475,Sverige,SE,19450220-8051,46,08-598 45 78,1945-02-20,True
Sara,Vikström,Furuvägen 931,Linköping,86105,Sverige,SE,19781112-4709,46,+46 (0)91 08 60 00,1978-11-12,True
Jesper,Hansen,Fabriksvägen 4,Lidingö,24756,Sverige,SE,19540216-1811,46,030-488 40 16,1954-02-16,True
Emelie,Johansson,Skogsvägen 4,Kristianstad,23458,Sverige,SE,19990128-2672,46,+46 (0)025 384 63,1999-01-28,True
Daniel,Svensson,Industrigatan 4,Nyköping,70539,Sverige,SE,19940327-8762,46,0185-77 92 27,1994-03-27,True
Tomas,Knutsson,Parkgatan 93,Göteborg,86091,Sverige,SE,19480402-4909,46,08-515 606 44,1948-04-02,True
Anna,Jansson,Björkvägen 43,Lund,79320,Sverige,SE,19970817-4235,46,0418-954 39,1997-08-17,True
Johanna,Dahlström,Järnvägsgatan 81,Malmö,83524,Sverige,SE,19551224-8240,46,08-20 51 97,1955-12-24,True
Håkan,Berntsson,Kvarnstigen 08,Karlstad,92235,Sverige,SE,19491228-2996,46,08-74 67 10,1949-12-28,True
Peter,Strandberg,Ängsstigen 40,Trelleborg,45431,Sverige,SE,19740827-4861,46,088-692 71 07,1974-08-27,True
Sara,Johansson,Åkergatan 759,Lidköping,18981,Sverige,SE,19630201-6755,46,055-067 34 43,1963-02-01,True
Robin,Andersson,Skogsgatan 4,Västerås,84303,Sverige,SE,19400320-3868,46,08-978 08 80,1940-03-20,True
Jonny,Jönsson,Industrigatan 897,Örnsköldsvik,81216,Sverige,SE,19881229-2322,46,0044-42 24 32,1988-12-29,True
Margareta,Fransson,Trädgårdsstigen 1,Örnsköldsvik,79756,Sverige,SE,19400103-7805,46,+46 (0)8 774 591 06,1940-01-03,True
Anna,Gustafsson,Fabrikstorget 630,Västerås,92424,Sverige,SE,19990630-6584,46,08-443 73 26,1999-06-30,True
Kristina,Nilsson,Villastigen 9,Gävle,76554,Sverige,SE,20001219-1014,46,014-29 36 12,2000-12-19,True
Stina,Linder,Storvägen 34,Växjö,27589,Sverige,SE,19600908-2225,46,+46 (0)8 257 806 38,1960-09-08,True
Anna,Gustavsson,Furutorget 1,Lund,76275,Sverige,SE,19811010-7296,46,+46 (0)8 220 338 98,1981-10-10,True
Carl,Jansson,Järnvägsvägen 844,Ängelholm,26654,Sverige,SE,19770719-4583,46,+46 (0)580 554 84,1977-07-19,True
Johan,Karlsson,Idrottsvägen 645,Östersund,48678,Sverige,SE,19620525-0704,46,0546-177 75,1962-05-25,True
Linda,Sköld,Furugatan 5,Nyköping,26702,Sverige,SE,19801123-4515,46,+46 (0)8 223 425 93,1980-11-23,True
Nils,Persson,Järnvägsvägen 6,Västerås,13077,Sverige,SE,19760718-9180,46,+46 (0)8 570 183 97,1976-07-18,True
Erik,Gustafsson,Industrigatan 27,Alingsås,43942,Sverige,SE,19930815-6445,46,+46 (0)65 50 67 86,1993-08-15,True
Bengt,Eriksson,Järnvägstorget 66,Uppsala,55548,Sverige,SE,19900811-2998,46,0403-95 01 74,1990-08-11,True
Bengt,Karlsson,Trädgårdsgatan 97,Nyköping,66159,Sverige,SE,19630318-0384,46,+46 (0)8 287 721 20,1963-03-18,True
Hans,Andersson,Strandgränd 91,Västerås,92384,Sverige,SE,19890620-0934,46,+46 (0)759 874 83,1989-06-20,True
Lars,Holm,Ringgränd 1,Lidköping,81274,Sverige,SE,19420426-7963,46,08-488 69 78,1942-04-26,True
Elisabet,Nilsson,Furuvägen 537,Norrköping,84225,Sverige,SE,19711223-4940,46,017-442 67 74,1971-12-23,True
Karl,Jonsson,Storstigen 73,Karlskrona,52646,Sverige,SE,19400126-6508,45,+46 (0)13 14 53 44,1940-01-26,True
Margit,Dahlström,Skolvägen 8,Nyköping,43318,Sverige,SE,19421208-1996,46,08-790 03 52,1942-12-08,True
Alexander,Larsson,Kyrkogatan 77,Mölndal,67327,Sverige,SE,19590417-4840,46,+46 (0)96 32 59 03,1959-04-17,True
Barbro,Olsson,Åkergatan 3,Örebro,49689,Sverige,SE,19780520-3559,46,022-213 35 28,1978-05-20,True
Maria,Högberg,Järnvägsstigen 773,Nyköping,66235,Sverige,SE,19930116-0782,46,+46 (0)66 01 74 03,1993-01-16,True
Björn,Petersson,Parkgatan 6,Landskrona,95611,Sverige,SE,19830916-7251,46,08-536 53 13,1983-09-16,True
Stefan,Eriksson,Bäckvägen 3,Alingsås,85345,Sverige,SE,19700517-0028,46,08-82 18 44,1970-05-17,True
Hans,Bengtsson,Furutorget 893,Trollhättan,23757,Sverige,SE,19570409-2153,46,0556-880 46,1957-04-09,True
Elin,Öberg,Björkgränd 50,Växjö,13832,Sverige,SE,19610422-1751,46,0354-622 25,1961-04-22,True
Arne,Andersson,Skolgatan 42,Karlstad,43155,Sverige,SE,19631020-0152,46,+46 (0)8 097 721 24,1963-10-20,True
Karin,Johansson,Bäckvägen 588,Skövde,88569,Sverige,SE,19400508-5075,46,038-233 66 32,1940-05-08,True
Rut,Johansson,Parkvägen 2,Luleå,70617,Sverige,SE,19481210-9590,46,0669-31 62 24,1948-12-10,True
Björn,Karlsson,Ringgatan 4,Lidingö,95401,Sverige,SE,19410514-2896,46,+46 (0)748 376 03,1941-05-14,True
Conny,Larsson,Kyrkotorget 17,Umeå,42765,Sverige,SE,19930220-3660,46,+46 (0)05 00 33 87,1993-02-20,True
Göran,Samuelsson,Industrigatan 8,Karlskrona,71477,Sverige,SE,19521127-1284,46,+46 (0)8 643 908 54,1952-11-27,True
Christer,Karlsson,Kvarntorget 3,Sandviken,24674,Sverige,SE,19620418-6742,46,046-37 99 60,1962-04-18,True
Karin,Pettersson,Skolgatan 407,Skellefteå,31593,Sverige,SE,19901123-6884,46,046-219 46 05,1990-11-23,True
Bo,Eriksson,Asptorget 0,Kristianstad,65445,Sverige,SE,19401203-3235,46,024-804 28 80,1940-12-03,True
Ulf,Henriksson,Idrottsvägen 9,Malmö,53285,Sverige,SE,19921203-1795,46,08-74 86 81,1992-12-03,True
Elisabeth,Hansson,Skolgränd 27,Mölndal,54451,Sverige,SE,19541121-9812,46,+46 (0)56 21 79 90,1954-11-21,True
Jan,Johansson,Backvägen 95,Karlstad,51146,Sverige,SE,19480402-6713,46,+46 (0)8 329 837 22,1948-04-02,True
Maria,Samuelsson,Ängsgatan 4,Sandviken,95864,Sverige,SE,19730710-9259,46,+46 (0)47 04 94 79,1973-07-10,True
Bertil,Olsson,Ringvägen 036,Halmstad,91152,Sverige,SE,19640207-1990,46,+46 (0)8 141 758 63,1964-02-07,True
Angelica,Johansson,Ängsvägen 0,Stockholm,19560,Sverige,SE,19880813-2671,46,090-02 13 21,1988-08-13,True
Jacob,Lundkvist,Kvarngatan 33,Lidköping,23915,Sverige,SE,19560203-8953,46,043-632 90 93,1956-02-03,True
Marie,Paulsson,Villavägen 58,Södertälje,69432,Sverige,SE,19500809-2219,46,021-92 19 63,1950-08-09,True
Birgitta,Nilsson,Skolgränd 43,Karlskrona,89247,Sverige,SE,19740925-3517,46,08-04 45 04,1974-09-25,True
Ingvar,Nordström,Furugränd 868,Skellefteå,41886,Sverige,SE,19881117-2408,46,08-325 28 69,1988-11-17,True
Nils,Karlsson,Skogsgatan 344,Stockholm,65787,Sverige,SE,19460424-8632,46,0543-840 41,1946-04-24,True
Gunilla,Andersson,Grantorget 1,Uppsala,90738,Sverige,SE,19730511-7488,46,0881-56 21 86,1973-05-11,True
Christoffer,Nilsson,Åkervägen 343,Borlänge,83819,Sverige,SE,19570103-3262,46,002-52 34 27,1957-01-03,True
Maria,Söderlund,Ängsvägen 251,Eskilstuna,77394,Sverige,SE,19580529-3456,46,+46 (0)389 061 59,1958-05-29,True
Peter,Andersson,Industrigatan 6,Jönköping,65509,Sverige,SE,19611121-6048,46,0131-887 52,1961-11-21,True
Hans,Lindqvist,Fabriksgränd 3,Eskilstuna,19017,Sverige,SE,19430810-1182,46,08-509 35 27,1943-08-10,True
Dan,Olsson,Backgatan 594,Mölndal,21819,Sverige,SE,19821207-9827,46,08-882 617 53,1982-12-07,True
Sture,Oskarsson,Granstigen 347,Sandviken,35311,Sverige,SE,19420930-4738,46,+46 (0)8 785 617 83,1942-09-30,True
Sofia,Andreasson,Kyrkogatan 1,Örnsköldsvik,75435,Sverige,SE,19741103-4719,46,+46 (0)351 739 84,1974-11-03,True
Peter,Eriksson,Trädgårdsgatan 371,Linköping,18466,Sverige,SE,19871209-9268,46,020-764 95 13,1987-12-09,True
Jakob,Persson,Skolgatan 9,Karlstad,79970,Sverige,SE,19870928-5029,46,0717-91 19 77,1987-09-28,True
Birgitta,Johansson,Kyrkotorget 444,Sandviken,65158,Sverige,SE,19650313-7358,46,+46 (0)065 048 90,1965-03-13,True
Margareta,Wallin,Strandvägen 566,Skövde,90252,Sverige,SE,19560101-4110,46,08-30 18 91,1956-01-01,True
Karin,Lind,Storgränd 916,Mölndal,12839,Sverige,SE,19591020-8615,46,08-158 08 49,1959-10-20,True
Johan,Söderberg,Industrigränd 643,Eskilstuna,48213,Sverige,SE,19590310-6776,46,0866-780 35,1959-03-10,True
Lars,Pettersson,Kvarngatan 0,Jönköping,92721,Sverige,SE,19511126-0427,46,014-858 39 73,1951-11-26,True
Maria,Pettersson,Granstigen 5,Karlstad,50332,Sverige,SE,19440107-1751,46,045-34 64 71,1944-01-07,True
Valdemar,Larsson,Strandgatan 7,Alingsås,87945,Sverige,SE,19620409-6026,46,08-477 605 09,1962-04-09,True
Claes,Johansson,Nygränd 744,Stockholm,31590,Sverige,SE,19481209-9481,46,08-229 56 44,1948-12-09,True
Anna,Ohlsson,Villagatan 967,Örebro,96547,Sverige,SE,19431227-0050,46,+46 (0)24 66 14 14,1943-12-27,True
Maria,Gustavsson,Skolvägen 06,Kristianstad,10957,Sverige,SE,19530112-1618,46,08-650 935 06,1953-01-12,True
Harald,Sjögren,Industritorget 57,Växjö,93150,Sverige,SE,19680920-7335,46,+46 (0)071 172 07,1968-09-20,True
Håkan,Johansson,Skolstigen 950,Landskrona,82197,Sverige,SE,19631129-7555,46,0299-53 69 12,1963-11-29,True
Lars,Hedström,Furustigen 479,Kalmar,41316,Sverige,SE,19591020-9647,46,083-154 55 02,1959-10-20,True
Robert,Eriksson,Skogsgränd 7,Trelleborg,94515,Sverige,SE,19850504-2900,46,08-897 61 14,1985-05-04,True
Ingvar,Svensson,Aspvägen 163,Motala,52674,Sverige,SE,19800518-0043,46,007-79 85 18,1980-05-18,True
Barbro,Petersson,Genstigen 5,Falun,10195,Sverige,SE,19610501-0189,46,+46 (0)75 76 77 89,1961-05-01,True
